MARS,xvar,numexempt_0,numexempt_1,numexempt_2,numexempt_3,numexempt_4,numexempt_5
1,XFPT,6144,49850,0,0,0,0
1,XFST,55994,0,0,0,0,0
1,XOCAH,54189,1241,564,0,0,0
1,XOCAWH,55750,187,57,0,0,0
1,XOODEP,55034,662,298,0,0,0
1,XOPAR,55834,137,23,0,0,0
1,XTOT,6144,46809,1971,1070,0,0
2,XFPT,6,87983,0,0,0,0
2,XFST,96,87893,0,0,0,0
2,XOCAH,42953,14310,18736,11990,0,0
2,XOCAWH,87735,211,38,5,0,0
2,XOODEP,86386,1170,312,121,0,0
2,XOPAR,86877,994,117,1,0,0
2,XTOT,3,4,41612,14434,18892,13044
3,XFPT,6,3138,0,0,0,0
3,XFST,3144,0,0,0,0,0
3,XOCAH,2405,739,0,0,0,0
3,XOCAWH,3125,19,0,0,0,0
3,XOODEP,3084,60,0,0,0,0
3,XOPAR,3125,19,0,0,0,0
3,XTOT,6,2301,837,0,0,0
4,XFPT,0,16659,0,0,0,0
4,XFST,16659,0,0,0,0,0
4,XOCAH,3057,7892,4159,1551,0,0
4,XOCAWH,16605,43,8,3,0,0
4,XOODEP,13683,1965,662,349,0,0
4,XOPAR,15673,856,128,2,0,0
4,XTOT,0,568,8420,5048,2623,0
